V1,V2,V3
-10.9531772575251,58,-2043.87036132812
-10.8862876254181,58,-2066.34204101562
-10.819397993311,58,-2079.7919921875
-10.752508361204,58,-2087.96215820312
-10.685618729097,58,-2091.99194335938
-10.61872909699,58,-2093.55200195312
-10.5518394648829,58,-2073.47216796875
-10.4849498327759,58,-2053.88208007812
-10.4180602006689,58,-2054.35205078125
-10.3511705685619,58,-2065.35961914062
-10.2842809364549,58,-2052.76953125
-10.2173913043478,58,-2027.50964355469
-10.1505016722408,58,-1992.5595703125
-10.0836120401338,58,-1925.83959960938
-10.0167224080268,58,-1887.16955566406
-9.94983277591973,58,-1890.24963378906
-9.88294314381271,58,-1780.6396484375
-9.81605351170569,58,-1569.42736816406
-9.74916387959866,58,-1260.96728515625
-9.68227424749164,58,-814.75732421875
-9.61538461538462,58,-562.727355957031
-9.54849498327759,58,-446.817321777344
-9.48160535117057,58,-367.247344970703
-9.41471571906355,58,-312.347320556641
-9.34782608695652,58,-270.647338867188
-9.2809364548495,58,-239.752502441406
-9.21404682274247,58,-215.002502441406
-9.14715719063545,58,-195.49250793457
-9.08026755852843,58,-179.262496948242
-9.01337792642141,58,-169.282501220703
-8.94648829431438,58,-161.802505493164
-8.87959866220736,58,-157.722503662109
-8.81270903010034,58,-156.202499389648
-8.74581939799331,58,-145.689987182617
-8.67892976588629,58,-134.679992675781
-8.61204013377926,58,-137.509994506836
-8.54515050167224,58,-133.959991455078
-8.47826086956522,58,-128.869979858398
-8.41137123745819,58,-122.249984741211
-8.34448160535117,58,-128.259994506836
-8.27759197324415,58,-134.369979858398
-8.21070234113713,58,-132.925399780273
-8.1438127090301,58,-124.325401306152
-8.07692307692308,58,-119.105400085449
-8.01003344481606,58,-94.8654022216797
-7.94314381270903,58,-72.6353988647461
-7.87625418060201,58,-67.3254013061523
-7.80936454849498,58,-74.4354019165039
-7.74247491638796,58,-82.7453994750977
-7.67558528428094,58,-87.6628952026367
-7.60869565217391,58,-93.0228958129883
-7.54180602006689,58,-93.3228912353516
-7.47491638795987,58,-97.9528961181641
-7.40802675585284,58,-85.6728973388672
-7.34113712374582,58,-58.4828948974609
-7.2742474916388,58,-42.7628936767578
-7.20735785953177,58,-38.4628944396973
-7.14046822742475,58,-33.6648864746094
-7.07357859531773,58,0.385112315416336
-7.0066889632107,58,92.7351150512695
-6.93979933110368,58,162.255111694336
-6.87290969899666,58,210.695114135742
-6.80602006688963,58,296.535125732422
-6.73913043478261,58,185.885116577148
-6.67224080267559,58,85.5751113891602
-6.60535117056856,58,192.164810180664
-6.53846153846154,58,196.914810180664
-6.47157190635452,58,132.524810791016
-6.40468227424749,58,-52.5151863098145
-6.33779264214047,58,-132.385192871094
-6.27090301003345,58,-139.065185546875
-6.20401337792642,58,-99.9751892089844
-6.1371237458194,58,-67.0551834106445
-6.07023411371237,58,-52.0866050720215
-6.00334448160535,58,-62.4766082763672
-5.93645484949833,58,-69.8166046142578
-5.8695652173913,58,-86.4266052246094
-5.80267558528428,58,-92.2466049194336
-5.73578595317726,58,-99.5566101074219
-5.66889632107024,58,-97.2666091918945
-5.60200668896321,58,-93.4766082763672
-5.53511705685619,58,-84.7772369384766
-5.46822742474917,58,-51.5872383117676
-5.40133779264214,58,-64.2772369384766
-5.33444816053512,58,-62.1072387695312
-5.26755852842809,58,-7.17723703384399
-5.20066889632107,58,183.282760620117
-5.13377926421405,58,158.742767333984
-5.06688963210702,58,173.342758178711
-5,58,302.291564941406
-25,57.9329896907216,-2758.03271484375
-24.933110367893,57.9329896907216,-2766.70263671875
-24.866220735786,57.9329896907216,-2775.2626953125
